msoa,income
E02001679,27800.0
E02001676,43300.0
E02001674,36400.0
E02001669,34400.0
E02001672,31300.0
E02006869,31900.0
E02001624,28500.0
E02001623,23000.0
E02001620,27400.0
E02001617,24600.0
E02001648,50500.0
E02001646,26700.0
E02001640,24200.0
E02001630,22900.0
E02001629,25600.0
E02001632,23600.0
E02006868,26100.0
E02001637,22900.0
E02001614,34500.0
E02001613,32100.0
E02001615,37600.0
E02001628,23600.0
E02001642,30700.0
E02001647,30400.0
E02001681,42500.0
E02001678,38200.0
E02001665,43700.0
E02001657,42900.0
E02001625,26700.0
E02001639,37700.0
E02001643,43400.0
E02001651,50200.0
E02001655,29000.0
E02001659,30000.0
E02001654,32300.0
E02001661,28000.0
E02001663,37800.0
E02001664,32900.0
E02001626,35900.0
E02001631,38200.0
E02001627,32000.0
E02001635,31900.0
E02001662,32900.0
E02001670,27100.0
E02001649,27500.0
E02001675,30600.0
E02006803,34800.0
E02001666,30800.0
E02001673,35400.0
E02001671,34800.0
E02001660,36000.0
E02001656,35800.0
E02001616,29100.0
E02001621,27200.0
E02001638,30400.0
E02001636,27700.0
E02001680,24900.0
E02001619,25400.0
E02001622,27200.0
E02001653,29700.0
E02001658,26200.0
E02001650,25500.0
E02001652,28700.0
E02006844,27800.0
E02001618,37400.0
E02001633,36400.0
E02001612,32400.0
E02001611,31500.0
E02001634,38300.0
E02006843,37600.0
